threshold,EQD_c0,EQD_c1,deferral_rate
0.0,0.3708333333333333,0.37083333333333335,0.0
0.2,0.3708333333333333,0.37083333333333335,0.0
0.4,0.3708333333333333,0.37083333333333335,0.0
0.6000000000000001,0.3708333333333333,0.37083333333333335,0.0
0.8,0.3708333333333333,0.37083333333333335,0.0
1.0,0.3708333333333333,0.37083333333333335,0.0
1.2000000000000002,0.3708333333333333,0.37083333333333335,0.0
1.4000000000000001,0.3708333333333333,0.37083333333333335,0.0
1.6,0.3708333333333333,0.37083333333333335,0.0
1.8,0.3708333333333333,0.37083333333333335,0.0
2.0,0.3708333333333333,0.37083333333333335,0.0
4.0,0.34166666666666673,0.3416666666666666,0.22404371584699453
6.0,0.24166666666666659,0.2416666666666667,0.4918032786885246
8.0,0.22499999999999998,0.225,0.6010928961748634
10.0,0.22499999999999998,0.225,0.6120218579234973
12.0,0.2041666666666666,0.2041666666666667,0.6885245901639344
14.0,0.2041666666666666,0.2041666666666667,0.6885245901639344
16.0,0.16249999999999998,0.1625,0.819672131147541
18.0,0.16249999999999998,0.1625,0.819672131147541
20.0,0.16249999999999998,0.1625,0.819672131147541
30.0,0.16249999999999998,0.1625,0.819672131147541
40.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
50.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
60.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
70.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
80.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
90.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
100.0,0.07916666666666661,0.07916666666666666,0.9289617486338798
