threshold,EQD_c0,EQD_c1,EQD_c2,deferral_rate
0.0,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.09,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.18,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.27,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.36,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.44999999999999996,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.54,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.63,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.72,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.8099999999999999,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.8999999999999999,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
0.99,0.35479832422022906,0.29843185768237274,0.11586201170658811,0.0
