threshold,EQD_c0,EQD_c1,deferral_rate
0.0,0.4416666666666667,0.44166666666666665,0.0
0.2,0.4416666666666667,0.44166666666666665,0.0
0.4,0.4416666666666667,0.44166666666666665,0.0
0.6000000000000001,0.4416666666666667,0.44166666666666665,0.0
0.8,0.4416666666666667,0.44166666666666665,0.0
1.0,0.4416666666666667,0.44166666666666665,0.0
1.2000000000000002,0.4416666666666667,0.44166666666666665,0.0
1.4000000000000001,0.4416666666666667,0.44166666666666665,0.0
1.6,0.4416666666666667,0.44166666666666665,0.0
1.8,0.4416666666666667,0.44166666666666665,0.0
2.0,0.4416666666666667,0.44166666666666665,0.00546448087431694
4.0,0.3333333333333333,0.33333333333333337,0.3333333333333333
6.0,0.3291666666666666,0.3291666666666667,0.48633879781420764
8.0,0.29166666666666663,0.2916666666666667,0.639344262295082
10.0,0.27083333333333337,0.2708333333333333,0.6612021857923497
12.0,0.1875,0.1875,0.7759562841530054
14.0,0.1875,0.1875,0.7759562841530054
16.0,0.1875,0.1875,0.7759562841530054
18.0,0.1875,0.1875,0.7759562841530054
20.0,0.08205128205128204,0.08205128205128209,0.8633879781420765
30.0,0.09743589743589742,0.09743589743589753,0.912568306010929
40.0,0.09743589743589742,0.09743589743589753,0.912568306010929
50.0,0.09743589743589742,0.09743589743589753,0.912568306010929
60.0,0.09743589743589742,0.09743589743589753,0.912568306010929
70.0,0.09743589743589742,0.09743589743589753,0.912568306010929
80.0,0.09743589743589742,0.09743589743589753,0.912568306010929
90.0,0.09743589743589742,0.09743589743589753,0.912568306010929
100.0,0.09743589743589742,0.09743589743589753,0.912568306010929
