threshold,EQD_c0,EQD_c1,deferral_rate
0.0,0.39230769230769225,0.3923076923076923,0.0
0.2,0.39230769230769225,0.3923076923076923,0.0
0.4,0.39230769230769225,0.3923076923076923,0.0
0.6000000000000001,0.39230769230769225,0.3923076923076923,0.0
0.8,0.39230769230769225,0.3923076923076923,0.0
1.0,0.39230769230769225,0.3923076923076923,0.0
1.2000000000000002,0.39230769230769225,0.3923076923076923,0.0
1.4000000000000001,0.39230769230769225,0.3923076923076923,0.0
1.6,0.39230769230769225,0.3923076923076923,0.0
1.8,0.39230769230769225,0.3923076923076923,0.01092896174863388
2.0,0.34583333333333327,0.3458333333333334,0.04918032786885246
4.0,0.3291666666666666,0.3291666666666667,0.273224043715847
6.0,0.2512820512820513,0.2512820512820513,0.5081967213114754
8.0,0.2512820512820513,0.2512820512820513,0.5081967213114754
10.0,0.20256410256410257,0.20256410256410262,0.5737704918032787
12.0,0.054166666666666585,0.05416666666666667,0.819672131147541
14.0,0.054166666666666585,0.05416666666666667,0.819672131147541
16.0,0.054166666666666585,0.05416666666666667,0.819672131147541
18.0,0.054166666666666585,0.05416666666666667,0.819672131147541
20.0,0.054166666666666585,0.05416666666666667,0.819672131147541
30.0,0.054166666666666585,0.05416666666666667,0.819672131147541
40.0,0.054166666666666585,0.05416666666666667,0.819672131147541
50.0,0.054166666666666585,0.05416666666666667,0.819672131147541
60.0,0.054166666666666585,0.05416666666666667,0.819672131147541
70.0,0.054166666666666585,0.05416666666666667,0.819672131147541
80.0,0.054166666666666585,0.05416666666666667,0.819672131147541
90.0,0.054166666666666585,0.05416666666666667,0.819672131147541
100.0,0.054166666666666585,0.05416666666666667,0.819672131147541
