Loading Hatespeech Dataset...
Loading cached embeddings from hatespeech_embeddings.npy
Running Exp A: Low Deferral (fc=5.0)...
Epoch [54][0/18] Loss 0.3238 | Acc 87.60
Epoch [54][10/18] Loss 0.3160 | Acc 88.32
Epoch [55][0/18] Loss 0.3236 | Acc 87.60
Epoch [55][10/18] Loss 0.3158 | Acc 88.32
Epoch [56][0/18] Loss 0.3233 | Acc 87.60
Epoch [56][10/18] Loss 0.3156 | Acc 88.31
Epoch [57][0/18] Loss 0.3230 | Acc 87.60
Epoch [57][10/18] Loss 0.3154 | Acc 88.31
Epoch [58][0/18] Loss 0.3228 | Acc 87.60
Epoch [58][10/18] Loss 0.3152 | Acc 88.33
Epoch [59][0/18] Loss 0.3226 | Acc 87.60
Epoch [59][10/18] Loss 0.3150 | Acc 88.32
Epoch [60][0/18] Loss 0.3223 | Acc 87.50
Epoch [60][10/18] Loss 0.3148 | Acc 88.32
Epoch [61][0/18] Loss 0.3221 | Acc 87.50
Epoch [61][10/18] Loss 0.3146 | Acc 88.33
Epoch [62][0/18] Loss 0.3219 | Acc 87.50
Epoch [62][10/18] Loss 0.3145 | Acc 88.31
Epoch [63][0/18] Loss 0.3216 | Acc 87.50
Epoch [63][10/18] Loss 0.3143 | Acc 88.35
Epoch [64][0/18] Loss 0.3214 | Acc 87.50
Epoch [64][10/18] Loss 0.3141 | Acc 88.35
Epoch [65][0/18] Loss 0.3212 | Acc 87.50
Epoch [65][10/18] Loss 0.3140 | Acc 88.35
Epoch [66][0/18] Loss 0.3210 | Acc 87.50
Epoch [66][10/18] Loss 0.3138 | Acc 88.39
Epoch [67][0/18] Loss 0.3208 | Acc 87.50
Epoch [67][10/18] Loss 0.3136 | Acc 88.40
Epoch [68][0/18] Loss 0.3206 | Acc 87.50
Epoch [68][10/18] Loss 0.3135 | Acc 88.40
Epoch [69][0/18] Loss 0.3204 | Acc 87.40
Epoch [69][10/18] Loss 0.3133 | Acc 88.41
Epoch [70][0/18] Loss 0.3203 | Acc 87.40
Epoch [70][10/18] Loss 0.3132 | Acc 88.42
Epoch [71][0/18] Loss 0.3201 | Acc 87.40
Epoch [71][10/18] Loss 0.3130 | Acc 88.42
Epoch [72][0/18] Loss 0.3199 | Acc 87.40
Epoch [72][10/18] Loss 0.3129 | Acc 88.41
Epoch [73][0/18] Loss 0.3197 | Acc 87.40
Epoch [73][10/18] Loss 0.3128 | Acc 88.40
Epoch [74][0/18] Loss 0.3196 | Acc 87.40
Epoch [74][10/18] Loss 0.3126 | Acc 88.39
Epoch [75][0/18] Loss 0.3194 | Acc 87.40
Epoch [75][10/18] Loss 0.3125 | Acc 88.40
Epoch [76][0/18] Loss 0.3192 | Acc 87.40
Epoch [76][10/18] Loss 0.3124 | Acc 88.40
Epoch [77][0/18] Loss 0.3191 | Acc 87.40
Epoch [77][10/18] Loss 0.3122 | Acc 88.43
Epoch [78][0/18] Loss 0.3189 | Acc 87.40
Epoch [78][10/18] Loss 0.3121 | Acc 88.44
Epoch [79][0/18] Loss 0.3188 | Acc 87.40
Epoch [79][10/18] Loss 0.3120 | Acc 88.44
Epoch [80][0/18] Loss 0.3186 | Acc 87.40
Epoch [80][10/18] Loss 0.3119 | Acc 88.45
Epoch [81][0/18] Loss 0.3185 | Acc 87.30
Epoch [81][10/18] Loss 0.3118 | Acc 88.44
Epoch [82][0/18] Loss 0.3184 | Acc 87.30
Epoch [82][10/18] Loss 0.3116 | Acc 88.44
Epoch [83][0/18] Loss 0.3182 | Acc 87.30
Epoch [83][10/18] Loss 0.3115 | Acc 88.44
Epoch [84][0/18] Loss 0.3181 | Acc 87.30
Epoch [84][10/18] Loss 0.3114 | Acc 88.44
Epoch [85][0/18] Loss 0.3179 | Acc 87.30
Epoch [85][10/18] Loss 0.3113 | Acc 88.45
Epoch [86][0/18] Loss 0.3178 | Acc 87.30
Epoch [86][10/18] Loss 0.3112 | Acc 88.45
Epoch [87][0/18] Loss 0.3177 | Acc 87.30
Epoch [87][10/18] Loss 0.3111 | Acc 88.46
Epoch [88][0/18] Loss 0.3176 | Acc 87.30
Epoch [88][10/18] Loss 0.3110 | Acc 88.47
Epoch [89][0/18] Loss 0.3175 | Acc 87.30
Epoch [89][10/18] Loss 0.3109 | Acc 88.47
Epoch [90][0/18] Loss 0.3173 | Acc 87.30
Epoch [90][10/18] Loss 0.3108 | Acc 88.48
Epoch [91][0/18] Loss 0.3172 | Acc 87.30
Epoch [91][10/18] Loss 0.3107 | Acc 88.47
Epoch [92][0/18] Loss 0.3171 | Acc 87.30
Epoch [92][10/18] Loss 0.3106 | Acc 88.48
Epoch [93][0/18] Loss 0.3170 | Acc 87.20
Epoch [93][10/18] Loss 0.3105 | Acc 88.45
Epoch [94][0/18] Loss 0.3169 | Acc 87.20
Epoch [94][10/18] Loss 0.3104 | Acc 88.45
Epoch [95][0/18] Loss 0.3168 | Acc 87.20
Epoch [95][10/18] Loss 0.3104 | Acc 88.45
Epoch [96][0/18] Loss 0.3167 | Acc 87.20
Epoch [96][10/18] Loss 0.3103 | Acc 88.45
Epoch [97][0/18] Loss 0.3166 | Acc 87.20
Epoch [97][10/18] Loss 0.3102 | Acc 88.45
